코드,역명,시간,환승,
510,방화,0,,
511,개화산,2,,
512,김포공항,2,,
513,송정,2,,
514,마곡,2,,
515,발산,2,,
516,우장산,2,,
517,화곡,2,,
518,까치산,2,234-4,
519,신정,2,,
520,목동,2,,
521,오목교,1,,
522,양평,2,,
523,영등포구청,2,236,
524,영등포시장,2,,
525,신길,2,,
526,여의도,1,,
527,여의나루,2,,
528,마포,3,,
529,공덕,2,626,
530,애오개,2,,
531,충정로,1,243,
532,서대문,2,,
533,광화문,2,,
534,종로3가,2,130,329
535,을지로4가,2,204,
536,동대문운동장,2,205,422
537,청구,2,634,
538,신금호,2,,
539,행당,1,,
540,왕십리,2,208,
541,마장,1,,
542,답십리,2,,
543,장한평,3,,
544,군자,2,725,
545,아차산,2,,
546,광나루,2,,
547,천호,3,811,
548,강동,2,,
549,길동,2,,
550,굽은다리,1,,
551,명일,2,,
552,고덕,2,,
553,상일동,2,,
