코드,역명,시간,환승,
133,서울역,0,426,
132,시청,2,201,
131,종각,3,,
130,종로3가,1,329,534
129,종로5가,2,,
128,동대문,2,421,
127,동묘앞,1,636,
126,신설동,2,411-4,
125,제기동,2,,
124,청량리,2,,
