코드,역명,시간,환승,
201,시청,0,132,
202,을지로입구,2,,
203,을지로3가,2,330,
204,을지로4가,1,535,
205,동대문운동장,2,422,536
206,신당,2,635,
207,상왕십리,2,,
208,왕십리,1,540,
209,한양대,2,,
210,뚝섬,2,,
211,성수,1,211-0,
212,건대입구,2,727,
213,구의,3,,
214,강변,1,,
215,잠실나루,3,,
216,잠실,2,814,
217,잠실시내,2,,
218,종합운동장,2,,
219,삼성,2,,
220,선릉,2,,
221,역삼,2,,
222,강남,1,,
223,교대,2,340,
224,서초,2,,
225,방배,2,,
226,사당,3,433,
227,낙성대,2,,
228,서울대입구,2,,
229,봉천,2,,
230,신림,2,,
231,신대방,2,,
232,구로디지철단지,2,,
233,대림,2,744,
234,신도림,3,234-0,
235,문래,2,,
236,영등포구청,2,523,
237,당산,2,,
238,합정,4,622,
239,홍대입구,2,,
240,신촌,2,,
241,이대,2,,
242,아현,2,,
243,충정로,2,531,
201,시청,3,,
