코드,역명,시간,환승,
319,지축,0,,
320,구파발,4,,
321,연신내,2,614,
322,불광,2,612,
323,녹번,2,,
324,홍제,3,,
325,무악재,2,,
326,독립문,2,,
327,경복궁,2,,
328,안국,2,,
329,종로3가,2,130,534
330,을지로3가,2,203,
331,충무로,1,423,
332,동대입구,2,,
333,약수,2,633,
334,금호,1,,
335,옥수,2,,
336,압구정,2,,
337,신사,3,,
338,잠원,2,,
339,고속터미널,2,734,
340,교대,2,223,
341,남부터미널,2,,
342,양재,3,,
343,매봉,2,,
344,도곡,2,,
345,대치,2,,
346,학여울,1,,
347,대청,2,,
348,일원,2,,
349,수서,3,,
350,가락시장,2,817,
351,경찰병원,2,,
352,오금,2,P552,
